Identificador,Área Construida (metros cuadrados),Área Privada (metros cuadrados),Habitaciones,Baños,Estrato,Parqueaderos,Antigüedad,Administración,Piso N°,Estado,Cantidad de pisos,Latitud,Longitud,Precio
192614181,78.0,,3,2,4,1,,,,Usado,,4.4311275,-75.1802893,1700000
192677018,236.0,157.0,5,5,4,1,9 a 15 años,,6,Usado,,4.4496067,-75.2480578,3000000
192120096,60.0,60.0,2,1,3,,1 a 8 años,,,,,4.4435743474833,-75.217651050068,650000
192515801,65.0,,2,2,3,1,1 a 8 años,,3,,,4.5805,-75.3754,2100000
192790366,95.0,,3,2,Sin Definir,1,9 a 15 años,,,Usado,,4.5805,-75.3754,2200000
192010744,60.0,58.0,3,2,3,1,menor a 1 año,151000.0,,Usado,,4.3972882,-75.146605,900000
192795358,80.0,80.0,3,2,4,1,1 a 8 años,,15,Usado,,4.4230877205406,-75.176848187064,1850000
192589217,40.0,40.0,2,1,3,,1 a 8 años,130000.0,,Usado,,4.4199241938459,-75.170624256134,720000
192812753,120.0,120.0,4,4,3,2,9 a 15 años,,8,Usado,,4.4491471528864,-75.245538633621,3200000
191344849,44.0,44.0,3,2,3,,9 a 15 años,138000.0,,,,4.4517669714068,-75.141644787901,562000
192497314,77.0,77.0,3,2,4,2,1 a 8 años,456000.0,,Usado,,4.3897289628639,-75.166443182526,1144000
192638309,58.0,58.0,3,2,3,1,1 a 8 años,145000.0,,,,4.4617480011795,-75.204420089722,793000
192592371,40.0,35.0,2,1,2,,1 a 8 años,130000.0,,,,4.4199241938459,-75.170624256134,720000
192596690,90.0,90.0,3,2,4,1,1 a 8 años,,,Usado,,4.4317549024315,-75.181202888489,1900000
192782746,73.0,73.0,3,2,4,1,9 a 15 años,,,Usado,,4.4302462,-75.2409001,1270000
192751071,8450.0,80.0,3,2,4,2,9 a 15 años,,12,Usado,,4.4483461,-75.1752578,2200000
192734363,100.0,100.0,3,3,5,1,1 a 8 años,,,Usado,,4.4416567,-75.2055919,2500000
192605502,97.0,91.0,2,2,5,1,1 a 8 años,,10,Usado,,4.4527283,-75.1900626,4750000
192532787,7231.0,6631.0,3,2,4,1,1 a 8 años,,8,Usado,8,4.4112974463264,-75.171295975239,1600000
192835541,75.0,75.0,3,2,2,,16 a 30 años,,4,Usado,,4.4468313557957,-75.194155555523,1400000
192444153,56.0,56.0,3,2,2,,16 a 30 años,,,,,4.4266374889924,-75.23756314069,700000
192371808,60.0,56.0,1,2,4,1,1 a 8 años,,6,Usado,,4.4389163,-75.1989264,3500000
192416840,56.0,56.0,1,2,5,1,1 a 8 años,,15,Usado,15,4.4426556,-75.2044118,2100000
192676883,60.0,60.0,3,2,3,1,menor a 1 año,,5,,,4.4076569168096,-75.166780930317,1100000
192180073,1.0,1.0,3,2,3,1,1 a 8 años,,8,Usado,8,4.451486,-75.141432,650000
192608594,42.0,39.0,2,1,2,,1 a 8 años,130000.0,,Usado,,4.3923042105903,-75.141313076019,520000
192677128,56.0,56.0,2,1,2,1,1 a 8 años,,2,,,4.4453177939481,-75.1638600047,750000
192217604,40.0,,2,1,2,,,,3,,3,4.4199215,-75.1706055,1400000
192212795,68.0,68.0,3,2,3,1,menor a 1 año,,4,Usado,4,4.4014387814551,-75.153205148108,1250000
192676084,68.0,68.0,3,2,4,1,1 a 8 años,,,,,4.4016959309195,-75.155019443787,2000000
192625688,77.0,77.0,3,2,3,1,1 a 8 años,,,Usado,,4.4059501941585,-75.168250966658,1600000
192460944,60.0,60.0,3,2,3,1,1 a 8 años,220000.0,,Usado,,4.4015038541649,-75.159058570862,880000
