Identificador,Área Construida (metros cuadrados),Área Privada (metros cuadrados),Habitaciones,Baños,Estrato,Parqueaderos,Antigüedad,Administración,Piso N°,Estado,Cantidad de pisos,Latitud,Longitud,Precio
192677018,236.0,157.0,5,5,4,1,9 a 15 años,,6,Usado,,4.4496067,-75.2480578,3000000
192614181,78.0,,3,2,4,1,,,,Usado,,4.4311275,-75.1802893,1700000
192843069,60.0,,3,2,3,,menor a 1 año,,,Usado,,4.4319257,-75.1798906,1450000
192795358,80.0,80.0,3,2,4,1,1 a 8 años,,15,Usado,,4.4230877205406,-75.176848187064,1850000
192737003,56.0,50.0,3,2,3,1,9 a 15 años,185000.0,,Usado,,4.4441996004139,-75.1660849687,615000
192592371,40.0,35.0,2,1,3,,1 a 8 años,134000.0,,Usado,,4.4199241938459,-75.170624256134,616000
192589217,40.0,40.0,2,1,3,,1 a 8 años,134000.0,,Usado,,4.4199241938459,-75.170624256134,616000
192120096,60.0,60.0,2,1,3,,1 a 8 años,,,,,4.4435743474833,-75.217651050068,650000
192721671,58.0,58.0,3,2,3,,1 a 8 años,190000.0,,Usado,,4.4216570942606,-75.171632766724,1090000
191344849,44.0,44.0,3,2,3,,9 a 15 años,138000.0,,,,4.4517669714068,-75.141644787901,562000
192812753,120.0,120.0,4,4,3,2,9 a 15 años,,8,Usado,,4.4491471528864,-75.245538633621,3200000
192826764,72.0,72.0,3,2,4,1,9 a 15 años,,6,Usado,,4.4432817079147,-75.171347377531,1350000
192755337,58.0,58.0,2,1,3,,16 a 30 años,140000.0,,Usado,,4.4406673746246,-75.198977311724,760000
192861060,44.0,44.0,2,2,4,1,1 a 8 años,207400.0,,Usado,,4.4286311083139,-75.179198272526,1242600
192596690,90.0,90.0,3,2,4,1,1 a 8 años,,,Usado,,4.4317549024315,-75.181202888489,1900000
192638309,58.0,58.0,3,2,3,1,1 a 8 años,145000.0,,,,4.4617480011795,-75.204420089722,793000
192784547,77.0,77.0,3,2,4,1,1 a 8 años,235600.0,,Usado,,4.4309793870922,-75.175495147705,1714400
192163448,36.0,36.0,2,1,3,,1 a 8 años,,,Usado,,4.4489411746247,-75.244697690941,900000
192751071,8450.0,80.0,3,2,4,2,9 a 15 años,,12,Usado,,4.4483461,-75.1752578,2200000
192734363,100.0,100.0,3,3,5,1,1 a 8 años,,,Usado,,4.4416567,-75.2055919,2500000
192605502,97.0,91.0,2,2,5,1,1 a 8 años,,10,Usado,,4.4527283,-75.1900626,4750000
192841147,51.0,51.0,2,2,3,,1 a 8 años,,5,Usado,,4.4265606,-75.1775612,1250000
191494499,92.0,,3,2,4,2,9 a 15 años,,3,Usado,3,4.428681,-75.2114148,1800000
192790366,95.0,,3,2,110,1,9 a 15 años,,,Usado,,4.5805,-75.3754,2200000
192416840,56.0,56.0,1,2,5,1,1 a 8 años,,15,Usado,15,4.4426556,-75.2044118,2100000
192180073,1.0,1.0,3,2,3,1,1 a 8 años,,8,Usado,8,4.451486,-75.141432,650000
